[2017-09-19 10:31:36,732: INFO/ForkPoolWorker-4] Task main.tasks.add_player[a02e6f59-1e02-48fd-9b8f-b94127d591f9] succeeded in 0.010454897000272467s: True
[2017-09-19 10:31:36,743: INFO/ForkPoolWorker-4] Task main.tasks.add_player[80ecb28b-296f-4f4b-b1c8-a21a0377f0f2] succeeded in 0.010284427999977197s: True
[2017-09-19 10:31:36,754: INFO/ForkPoolWorker-4] Task main.tasks.add_player[9ac47306-a7ea-4842-8f91-e2dc25c5925f] succeeded in 0.010513899000216043s: True
[2017-09-19 10:31:36,765: INFO/ForkPoolWorker-4] Task main.tasks.add_player[be97a162-fcc4-4836-8734-13478c26c376] succeeded in 0.010487708000255225s: True
[2017-09-19 10:31:36,776: INFO/ForkPoolWorker-4] Task main.tasks.add_player[4835b628-372c-476d-83ba-54ffe28d83c1] succeeded in 0.010437419000481896s: True
[2017-09-19 10:31:36,787: INFO/ForkPoolWorker-4] Task main.tasks.add_player[41a0a8b8-e23a-44bf-84f0-93227120d1af] succeeded in 0.010471329999745649s: True
[2017-09-19 10:31:36,798: INFO/ForkPoolWorker-4] Task main.tasks.add_player[e7b3b328-bc33-4acb-8fc5-013ecf6b49c0] succeeded in 0.010281217999363435s: True
[2017-09-19 10:31:36,809: INFO/ForkPoolWorker-4] Task main.tasks.add_player[8f727c69-3713-41d8-bd36-7bc3b276850e] succeeded in 0.01061746600043989s: True
[2017-09-19 10:31:36,930: INFO/ForkPoolWorker-4] Task main.tasks.check_future[82457bcc-4429-4486-bc23-0c8444ff37cf] succeeded in 0.9232463110001845s: None
[2017-09-19 10:31:38,995: INFO/MainProcess] Received task: main.tasks.check_playing[a0010f3e-bc48-44a7-964f-46fbd45b2572]  
[2017-09-19 10:31:39,002: INFO/MainProcess] Received task: main.tasks.check_future[8f579d56-bde3-4836-8ae4-d98720012e53]  
[2017-09-19 10:31:39,014: INFO/ForkPoolWorker-1] Checking for games in PLAYING state. FOUND: 1
[2017-09-19 10:31:39,024: INFO/MainProcess] Received task: main.tasks.update_game_info[a47b462d-1444-4305-9b3f-94dfd2fc2c7d]  
[2017-09-19 10:31:39,030: INFO/MainProcess] Received task: main.tasks.get_game_actions[0ae43bfb-dde5-4784-8da6-5129bb4cff19]  
[2017-09-19 10:31:39,041: INFO/ForkPoolWorker-3] Updating game information. GAME: 12105&BKM400405
[2017-09-19 10:31:39,042: WARNING/ForkPoolWorker-3] MAKING NEW REQUEST: https://livecache.sportresult.com/node/db/FIBASTATS_PROD/12105_GAME_BKM400405_JSON.json?s=534&t=0
[2017-09-19 10:31:39,125: WARNING/ForkPoolWorker-2] MAKING NEW REQUEST: https://livecache.sportresult.com/node/db/FIBASTATS_PROD/12105_GAMEACTIONS_BKM400405_Q1_JSON.json?s=534&t=0
[2017-09-19 10:31:39,133: WARNING/ForkPoolWorker-3] MAKING NEW REQUEST: https://livecache.sportresult.com/node/db/FIBASTATS_PROD/12105_STANDINGDATA_JSON.json?s=534&t=0
[2017-09-19 10:31:39,213: INFO/ForkPoolWorker-4] Task main.tasks.check_future[8f579d56-bde3-4836-8ae4-d98720012e53] succeeded in 0.21031741199931275s: None
[2017-09-19 10:31:39,228: WARNING/ForkPoolWorker-2] MAKING NEW REQUEST: https://livecache.sportresult.com/node/db/FIBASTATS_PROD/12105_GAMEACTIONS_BKM400405_Q2_JSON.json?s=534&t=0
[2017-09-19 10:31:39,353: WARNING/ForkPoolWorker-2] MAKING NEW REQUEST: https://livecache.sportresult.com/node/db/FIBASTATS_PROD/12105_GAMEACTIONS_BKM400405_Q3_JSON.json?s=534&t=0
[2017-09-19 10:31:39,369: INFO/ForkPoolWorker-1] Task main.tasks.check_playing[a0010f3e-bc48-44a7-964f-46fbd45b2572] succeeded in 0.37271977399996103s: None
[2017-09-19 10:31:39,458: INFO/ForkPoolWorker-3] Task main.tasks.update_game_info[a47b462d-1444-4305-9b3f-94dfd2fc2c7d] succeeded in 0.43136787099956564s: None
[2017-09-19 10:31:39,526: WARNING/ForkPoolWorker-2] MAKING NEW REQUEST: https://livecache.sportresult.com/node/db/FIBASTATS_PROD/12105_GAMEACTIONS_BKM400405_Q4_JSON.json?s=534&t=0
[2017-09-19 10:31:39,671: INFO/ForkPoolWorker-2] ACTION ID: 0 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:39,732: INFO/ForkPoolWorker-2] ACTION ID: 1 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:39,743: INFO/ForkPoolWorker-2] ACTION ID: 2 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:39,754: INFO/ForkPoolWorker-2] ACTION ID: 3 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:39,765: INFO/ForkPoolWorker-2] ACTION ID: 4 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:39,776: INFO/ForkPoolWorker-2] ACTION ID: 5 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:39,787: INFO/ForkPoolWorker-2] ACTION ID: 6 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:39,798: INFO/ForkPoolWorker-2] ACTION ID: 7 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:39,810: INFO/ForkPoolWorker-2] ACTION ID: 8 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:39,820: INFO/ForkPoolWorker-2] ACTION ID: 9 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:39,831: INFO/ForkPoolWorker-2] ACTION ID: 10 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:39,843: INFO/ForkPoolWorker-2] ACTION ID: 11 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:39,853: INFO/ForkPoolWorker-2] ACTION ID: 12 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:39,865: INFO/ForkPoolWorker-2] ACTION ID: 13 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:39,876: INFO/ForkPoolWorker-2] ACTION ID: 14 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:39,887: INFO/ForkPoolWorker-2] ACTION ID: 15 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:39,898: INFO/ForkPoolWorker-2] ACTION ID: 16 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:39,909: INFO/ForkPoolWorker-2] ACTION ID: 17 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:39,920: INFO/ForkPoolWorker-2] ACTION ID: 18 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:39,931: INFO/ForkPoolWorker-2] ACTION ID: 19 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:39,942: INFO/ForkPoolWorker-2] ACTION ID: 20 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:39,953: INFO/ForkPoolWorker-2] ACTION ID: 21 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:39,964: INFO/ForkPoolWorker-2] ACTION ID: 22 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:39,975: INFO/ForkPoolWorker-2] ACTION ID: 23 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:39,986: INFO/ForkPoolWorker-2] ACTION ID: 24 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:39,998: INFO/ForkPoolWorker-2] ACTION ID: 25 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:40,009: INFO/ForkPoolWorker-2] ACTION ID: 26 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:40,020: INFO/ForkPoolWorker-2] ACTION ID: 27 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:40,031: INFO/ForkPoolWorker-2] ACTION ID: 28 ALL ACTIONS: <QuerySet []>
[2017-09-19 10:31:40,042: INFO/ForkPoolWorker-2] ACTION ID: 29 ALL ACTIONS: <QuerySet []>
